key	building	unit	xp	conditions	faction	enabled
#building_units_allowed_tables;3;db/building_units_allowed_tables/building_units_allowed						
100003	3c_armenia_military_infantry_4	3c_Arm_Armenian_Spearmen	0			false
100010	3c_armenia_military_cavalry_4	3c_Arm_Armenian_Spearmen	0			false
100012	3c_armenia_military_infantry_2	3c_Arm_Armenian_Pikemen	0			false
100015	3c_armenia_military_infantry_3	3c_Arm_Armenian_Pikemen	0			false
100022	3c_armenia_military_infantry_4	3c_Arm_Armenian_Pikemen	0			false
100028	3c_armenia_military_cavalry_4	3c_Arm_Armenian_Pikemen	0			false
100034	3c_armenia_military_infantry_2	3c_Arm_Armenian_Slingers	0			false
100036	3c_armenia_military_infantry_3	3c_Arm_Armenian_Slingers	0			false
100042	3c_armenia_military_infantry_4	3c_Arm_Armenian_Slingers	0			false
100048	3c_armenia_military_cavalry_4	3c_Arm_Armenian_Slingers	0			false
100055	3c_armenia_military_infantry_2	3c_Arm_Armenian_Archers	0			false
100062	3c_armenia_military_infantry_3	3c_Arm_Armenian_Archers	0			false
100065	3c_armenia_military_infantry_4	3c_Arm_Armenian_Archers	0			false
100066	3c_armenia_military_cavalry_4	3c_Arm_Armenian_Archers	0			false
100068	3c_armenia_military_infantry_2	3c_Eas_Eastern_Cavalry	0			false
100073	3c_armenia_military_infantry_3	3c_Eas_Eastern_Cavalry	0			false
100081	3c_armenia_military_infantry_4	3c_Eas_Eastern_Cavalry	0			false
100083	3c_armenia_military_cavalry_4	3c_Eas_Eastern_Cavalry	0			false
100086	3c_armenia_military_infantry_2	3c_Eas_Eastern_Horse_Archers	0			false
100094	3c_armenia_military_infantry_3	3c_Eas_Eastern_Horse_Archers	0			false
100104	3c_armenia_military_infantry_4	3c_Eas_Eastern_Horse_Archers	0			false
100113	3c_armenia_military_cavalry_4	3c_Eas_Eastern_Horse_Archers	0			false
100118	3c_armenia_military_infantry_3	3c_Arm_Armoured_Axe_Warriors	0			false
100123	3c_armenia_military_infantry_4	3c_Arm_Armoured_Axe_Warriors	0			false
100133	3c_armenia_military_cavalry_4	3c_Arm_Armoured_Axe_Warriors	0			false
100143	3c_armenia_military_infantry_3	3c_Eas_Noble_Spearmen	0			false
100145	3c_armenia_military_infantry_4	3c_Eas_Noble_Spearmen	0			false
100154	3c_armenia_military_cavalry_4	3c_Eas_Noble_Spearmen	0			false
100158	3c_armenia_military_infantry_3	3c_Arm_Armoured_Armenian_Pikemen	0			false
100159	3c_armenia_military_infantry_4	3c_Arm_Armoured_Armenian_Pikemen	0			false
100167	3c_armenia_military_cavalry_4	3c_Arm_Armoured_Armenian_Pikemen	0			false
100172	3c_armenia_military_infantry_3	3c_Arm_Armoured_Armenian_Archers	0			false
100180	3c_armenia_military_infantry_4	3c_Arm_Armoured_Armenian_Archers	0			false
100187	3c_armenia_military_cavalry_4	3c_Arm_Armoured_Armenian_Archers	0			false
100191	3c_armenia_military_infantry_3	3c_Eas_Eastern_Cataphracts	0			false
100199	3c_armenia_military_infantry_4	3c_Eas_Eastern_Cataphracts	0			false
100201	3c_armenia_military_cavalry_4	3c_Eas_Eastern_Cataphracts	0			false
100211	3c_armenia_military_infantry_3	3c_Arm_Noble_Armenian_Cavalry	0			false
100217	3c_armenia_military_infantry_4	3c_Arm_Noble_Armenian_Cavalry	0			false
100227	3c_armenia_military_cavalry_4	3c_Arm_Noble_Armenian_Cavalry	0			false
100236	3c_armenia_military_infantry_3	3c_Arm_Armoured_Horse_Archers	0			false
100242	3c_armenia_military_infantry_4	3c_Arm_Armoured_Horse_Archers	0			false
100248	3c_armenia_military_cavalry_4	3c_Arm_Armoured_Horse_Archers	0			false
100252	3c_armenia_military_infantry_4	3c_Arm_Azat_Guard	0			false
100259	3c_armenia_military_infantry_4	3c_Arm_Noble_Armenian_Archers	0			false
100260	3c_armenia_military_cavalry_4	3c_Arm_Noble_Cataphracts	0			false
100269	3c_armenia_military_cavalry_4	3c_Arm_Azat_Knights	0			false
100273	3c_armenia_military_cavalry_4	3c_Arm_Noble_Horse_Archers	0			false
100276	3c_east_military_cav_1	3c_Sas_Eastern_Scouts	0			false
100282	3c_east_military_cav_2	3c_Sas_Eastern_Scouts	0			false
100287	3c_east_military_cav_animal_3	3c_Sas_Eastern_Scouts	0			false
100294	3c_east_military_cav_animal_4	3c_Sas_Eastern_Scouts	0			false
100303	3c_east_military_cav_heavy_3	3c_Sas_Eastern_Scouts	0			false
100304	3c_east_military_cav_heavy_4	3c_Sas_Eastern_Scouts	0			false
100309	3c_east_military_cav_2	3c_Sas_Savaran_Cataphracts	0			false
