rom_barbarian_basic_horse
	Ibe_Cav
	Cel_Light_Horse
	Ger_Scout_Riders
	Bri_Scout_Riders
	Ill_Cav
	Thr_Cav
	Dac_Spear_Horsemen
	Ste_Horse_Archers

rom_barbarian_bowmen
	Dac_Heavy_Bowmen
	Ibe_Skirm
	Cel_Slingers
	Bri_Skirm
	Ger_Longbow_Hunters
	Ill_Slave_Javelinmen
	Thr_Bowmen
	Dac_Bowmen
	Ste_Archers

rom_barbarian_elite_melee
	Bri_Painted_Ones
	Thr_Warriors
	Ibe_Scutarii
	Dac_Spear_Warriors
	Cel_Sword_Followers
	Ibe_Vet_Shield_Warriors
	Ill_Hoplites
	Cel_Axe_Warriors
	Cel_Galatian_Spears
	Cel_Fierce_Swords
	Dac_Armoured_Spears
	Cel_Chosen_Sword
	Ger_Wodanaz_Spears
	Ste_Noble_Horse_Archers

rom_barbarian_fixed_defence_ballista
	Ibe_Ballista_Bastion
	Cel_Ballista_Bastion
	Bri_Ballista_Bastion
	Ger_Ballista_Bastion
	Dac_Ballista_Bastion
	Gre_Ballista_Bastion
	Ste_Ballista_Bastion

rom_barbarian_fixed_defence_onager
	Ibe_Onager_Bastion
	Cel_Onager_Bastion
	Bri_Onager_Bastion
	Ger_Onager_Bastion
	Dac_Onager_Bastion
	Gre_Onager_Bastion

rom_barbarian_fixed_defence_scorpion
	Ibe_Scorpion_Bastion
	Cel_Scorpion_Bastion
	Bri_Scorpion_Bastion
	Ger_Scorpion_Bastion
	Dac_Scorpion_Bastion
	Gre_Scorpion_Bastion

rom_barbarian_foreign_hellenic_garrison
	Car_Mob
	Gre_Mob
	Gre_Spartan_Youths
	Egy_Mob
	Eas_Mob

rom_barbarian_hunters
	Ibe_Guerilla_Warriors
	Bri_Ambushers
	Ger_Night_Hunters

rom_barbarian_medium_horse
	Cel_Mighty_Horse
	Cel_Galatian_Raiders
	Cel_Raiding_Horsemen
	Thr_Horsemen
	Ill_Cav
	Ibe_Celtiberian_Cav
	Ger_Scout_Riders
	Ibe_Scutarii_Cav
	Cel_Heavy_Horse
	Dac_Bow_Horsemen
	Ste_Armoured_Lancers
	Bri_Veteran_Riders

rom_barbarian_medium_melee
	Ger_Hex_Bearers
	Dac_Heavy_Spears
	Ibe_Sword
	Cel_Warriors
	Ger_Bloodsworn
	Bri_Sword_Band
	Ger_Spear_Brothers
	Cel_Short_Swords
	Cel_Galatian_Swords
	Ill_Levies
	Thr_Peltasts
	Dac_Spears
	Ste_Spear

rom_barbarian_minor_settlement_lvl1_allgarrison
	Thr_Warriors
	Dac_Heavy_Skirm
	Dac_Heavy_Skirm
	Ibe_Tribesmen
	Cel_Tribesmen
	Bri_Farmers
	Ger_Tribesmen
	Ill_Tribesmen
	Dac_Tribesmen
	Ste_Tribesmen
	Ibe_Tribesmen
	Cel_Tribesmen
	Bri_Farmers
	Ger_Tribesmen
	Ill_Tribesmen
	Dac_Tribesmen
	Ste_Tribesmen
	Ibe_Tribesmen
